,Team,EffHgt,C-Hgt,Bench,Continuity,Experience
355,Central Connecticut,-0.7,-1.3,30.9,50.8,1.63
356,Alcorn St.,-1.6,-1.8,33.9,23.6,0.95
357,Southeast Missouri,-0.7,-0.1,31.5,45.5,0.91
358,Utah Tech,-1.6,-1.8,26.3,36.2,1.65
359,Merrimack,-1.7,-2.4,20.6,41.7,1.29
360,Longwood,-1.6,-1.9,32.7,33.9,1.78
361,New Orleans,-0.9,-1.0,41.6,19.2,0.61
362,Kent St.,-1.0,-0.9,34.6,45.9,2.16
363,Albany,-1.8,-1.6,24.3,17.0,2.30
364,Army,-1.5,-1.4,28.9,48.3,1.72
365,Purdue Fort Wayne,-0.5,-1.2,29.9,73.8,1.91
366,Manhattan,-1.3,-1.6,20.9,33.3,0.85
367,Akron,-2.7,-1.9,39.0,23.9,1.40
368,Mercyhurst,-1.7,-2.2,29.2,0.0,0.75
369,Prairie View A&M,-1.7,-1.7,33.3,6.1,1.15
370,Navy,-1.9,-0.4,23.8,61.3,1.22
